name,building,floor,capacity,venue_type,description
101,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 101, AB1, 1st Floor"
102,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 102, AB1, 1st Floor"
103,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 103, AB1, 1st Floor"
104,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 104, AB1, 1st Floor"
105,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 105, AB1, 1st Floor"
106,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 106, AB1, 1st Floor"
107,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 107, AB1, 1st Floor"
108,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 108, AB1, 1st Floor"
109,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 109, AB1, 1st Floor"
110,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 110, AB1, 1st Floor"
111,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 111, AB1, 1st Floor"
112,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 112, AB1, 1st Floor"
113,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 113, AB1, 1st Floor"
114,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 114, AB1, 1st Floor"
115,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 115, AB1, 1st Floor"
116,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 116, AB1, 1st Floor"
117,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 117, AB1, 1st Floor"
118,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 118, AB1, 1st Floor"
119,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 119, AB1, 1st Floor"
120,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 120, AB1, 1st Floor"
121,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 121, AB1, 1st Floor"
122,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 122, AB1, 1st Floor"
123,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 123, AB1, 1st Floor"
124,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 124, AB1, 1st Floor"
125,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 125, AB1, 1st Floor"
126,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 126, AB1, 1st Floor"
127,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 127, AB1, 1st Floor"
128,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 128, AB1, 1st Floor"
129,AB1,1st Floor,60,SEMINAR_HALL,"Classroom 129, AB1, 1st Floor"
201,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 201, AB1, 2nd Floor"
202,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 202, AB1, 2nd Floor"
203,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 203, AB1, 2nd Floor"
204,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 204, AB1, 2nd Floor"
205,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 205, AB1, 2nd Floor"
206,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 206, AB1, 2nd Floor"
207,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 207, AB1, 2nd Floor"
208,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 208, AB1, 2nd Floor"
209,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 209, AB1, 2nd Floor"
210,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 210, AB1, 2nd Floor"
211,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 211, AB1, 2nd Floor"
212,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 212, AB1, 2nd Floor"
213,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 213, AB1, 2nd Floor"
214,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 214, AB1, 2nd Floor"
215,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 215, AB1, 2nd Floor"
216,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 216, AB1, 2nd Floor"
217,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 217, AB1, 2nd Floor"
218,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 218, AB1, 2nd Floor"
219,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 219, AB1, 2nd Floor"
220,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 220, AB1, 2nd Floor"
221,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 221, AB1, 2nd Floor"
222,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 222, AB1, 2nd Floor"
223,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 223, AB1, 2nd Floor"
224,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 224, AB1, 2nd Floor"
225,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 225, AB1, 2nd Floor"
226,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 226, AB1, 2nd Floor"
227,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 227, AB1, 2nd Floor"
228,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 228, AB1, 2nd Floor"
229,AB1,2nd Floor,60,SEMINAR_HALL,"Classroom 229, AB1, 2nd Floor"
301,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 301, AB1, 3rd Floor"
302,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 302, AB1, 3rd Floor"
303,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 303, AB1, 3rd Floor"
304,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 304, AB1, 3rd Floor"
305,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 305, AB1, 3rd Floor"
306,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 306, AB1, 3rd Floor"
307,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 307, AB1, 3rd Floor"
308,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 308, AB1, 3rd Floor"
309,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 309, AB1, 3rd Floor"
310,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 310, AB1, 3rd Floor"
311,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 311, AB1, 3rd Floor"
312,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 312, AB1, 3rd Floor"
313,AB1,3rd Floor,60,SEMINAR_HALL,"Classroom 313, AB1, 3rd Floor"
